doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
리가 우리와 협력할까?	2	2	2	2	2	2	2	2	2	2
문제가 뭔데?	2	2	2	2	2	2	2	2	2	2
들리는 말로는 다른 회사가 더 큰 액수를 제의했대.	2	2	2	2	2	2	2	2	2	2
사실인지 본인에게 확인할 수 있어?	2	2	2	2	2	2	2	2	2	2
그럴게.	2	2	2	2	2	2	2	2	2	2
오늘 같이 점심 먹기로 했거든.	2	2	2	2	2	2	2	2	2	2
사실이면 우리가 더 큰 액수를 내놓자고.	2	2	2	2	2	2	2	2	2	2
꼭 우리와 손잡게 해야 돼.	2	2	0	2	2	2	2	2	2	2
액수는 얼마나 많이 제의해야지?	2	2	2	2	2	2	2	2	2	2
얼마든지.	2	2	2	2	2	2	2	2	2	2
리를 놓치면 안돼.	2	2	0	2	2	2	2	2	2	2
점심 마치고 돌아오면 리의 반응을 놓고 같이 검토하자고.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
Jane이 학교에 간 이후로 집에 오지 않았어요.	2	2	2	2	2	2	2	2	2	2
나는 그녀에게 교통사고나 납치 같은 안 좋은 일이 생길지 걱정돼요.	2	2	2	2	2	2	2	2	0	2
부정적으로 생각하지 마시오.	2	2	2	2	2	2	2	2	2	2
그녀는 곧 집에 올 것이오.	2	2	2	2	2	2	2	2	2	2
하지만 벌써 오후 11시 30분이에요.	2	2	2	2	2	2	2	2	0	2
그녀는 저에게 연락조차 하지 않았어요.	2	2	2	2	2	2	2	2	0	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
아버님~	2	2	2	2	2	2	2	2	2	2
어 뭐?	2	2	2	2	2	2	2	2	2	2
왜 왜?	2	2	2	2	2	2	2	2	2	2
아버님 준혁이네 교감선생님이랑 극장 가셨다는거 진짠가요?	2	2	2	2	2	2	2	2	2	2
뭐?	2	2	2	2	2	2	2	2	2	2
아니 학교 애 하나가..	2	2	2	2	2	2	2	2	2	2
너 일루 와봐	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
너 시간제로 하는 일 있어?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
운좋게 편의점에서 일자리를 얻었어.	2	2	2	2	2	2	2	2	2	2
거기서 뭐 해?	2	2	2	2	2	2	2	2	2	2
다 하지.	2	2	2	2	2	2	2	2	2	2
계산대에서 일하고 물건도 들여놓지.	2	2	2	2	2	2	2	2	2	2
그게 다는 아니잖아.	2	2	2	2	2	2	2	2	2	2
그게 다가 아니야.	2	2	2	2	2	2	2	2	2	2
화장실도 깨끗이 하고 누가 뭘 쏟거나 고장내면 내가 청소해야 돼.	2	2	2	2	2	2	2	2	2	2
일하면서 뭐가 제일 좋아?	2	2	2	2	2	2	2	2	2	2
동료들하고 잘 어울리려서 함께 일하면 아주 재미있어.	2	2	2	2	0	2	2	2	2	2
뭐가 제일 싫어?	2	2	2	2	2	2	2	2	2	2
어떨 땐 아주 따분해.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
그럼 새 컴퓨터를 산 거니?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
여기 다 있어.	2	2	2	2	2	2	2	2	2	2
지금 연결할 거야?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
상자들 옮기는데 나 좀 도와줄 수 있어?	2	2	2	2	2	2	2	2	2	2
물론.	2	2	2	2	0	2	2	2	2	2
그리고 이거 사는데 200달러 빌려줘서 고마워.	2	2	2	2	2	2	0	2	2	2
괜찮아.	2	2	2	2	2	2	2	2	2	2
3개월동안 내 차 세차해준다고 한 것 잊지 마.	2	2	2	2	2	2	2	2	2	2
그럴게.	2	2	2	2	2	2	2	2	2	2
약속 지키는 건 중요한 거야.	2	2	2	2	2	2	2	2	2	2
알았어 알았다고.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
나 스트레스 너무 많이 받아.	2	2	2	2	2	2	2	2	2	2
할 일이 너무 많아서 그래.	2	2	2	2	2	2	2	2	2	2
다시 말 안 해줘도 알거든.	2	2	2	2	2	2	1	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
아빠는 언제와?	2	2	2	2	2	2	2	2	2	2
곧..	2	2	2	2	2	2	2	2	2	2
우리 뭐 사 먹을 돈 한개도 없어?	2	2	2	2	2	2	2	2	2	2
언니..나 저거 하나만 먹으면 안돼?	0	2	2	2	2	2	2	2	2	2
안돼.	2	2	2	2	2	2	2	2	2	2
땅에 떨어진 거 먹으면 배탈 나.	1	2	0	2	2	2	2	2	2	2
금방 떨어진거 잖아.	2	2	2	2	2	2	2	2	2	2
괜찮아 좀 주워줘봐.	2	2	2	2	2	2	2	2	2	2
안돼.	2	2	2	2	2	2	2	2	2	2
비둘기들 다 먹기 전에 빨리..	2	2	2	2	2	2	2	2	2	2
달다..되게 맛있어..	2	2	2	2	2	2	2	2	2	2
먹어봐.	2	2	2	2	2	2	2	2	2	2
됐어.	2	2	2	2	2	2	1	2	2	2
너 먹어.	2	2	2	2	2	2	1	2	2	2
먹어..	2	2	2	2	2	2	2	2	2	2
난 됐다니까.	2	2	2	2	2	2	2	2	2	2
너 먹어 빨리.	2	2	2	2	2	2	2	2	2	2
달다..	2	2	2	2	2	2	2	2	2	2
잠깐만..	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
피자 한 조각 먹어도 돼?	2	2	2	2	2	2	2	2	2	2
